series,scenario,die,icepak_avg_c,icepak_max_c,threedice_avg_c,diff_c,diff_pct
A,s0_uniform,dram_die_1,179.71601226811325,194.7741638183594,179.71300000000002,-0.0030122681132240814,0.0016761267263877208
A,s0_uniform,dram_die_2,179.27979211275286,194.69490966796877,179.276,-0.0037921127528477427,0.0021151925201155983
A,s0_uniform,dram_die_3,178.80241643855072,194.38250122070315,178.798,-0.004416438550720159,0.0024700105505777448
A,s0_uniform,dram_die_4,178.28452213813986,193.8902526855469,178.28000000000003,-0.004522138139833487,0.0025364726481021203
A,s0_uniform,dram_die_5,177.72535312686924,193.2187438964844,177.72200000000004,-0.003353126869200196,0.0018866902274806941
A,s0_uniform,dram_die_6,177.12707371741737,192.36953125000002,177.122,-0.005073717417360513,0.0028644505387442646
A,s0_uniform,dram_die_7,176.48743433470804,191.20589599609377,176.483,-0.004434334708037113,0.0025125498167917195
A,s0_uniform,top_die,176.380573922323,190.68386230468752,176.40500000000003,0.02442607767702043,0.0138485078792053
A,s1_phy_moderate,base_die_phy,202.40879771596306,215.32683715820315,199.15800000000002,-3.2507977159630457,1.6060555433587607
A,s1_phy_moderate,base_die_tsva,174.9423073415895,200.7087341308594,177.03200000000004,2.0896926584105415,1.1945038854039132
A,s1_phy_moderate,base_die_da,172.71855705711178,181.6144958496094,168.29700000000003,-4.421557057111755,2.5599779968342986
A,s1_phy_moderate,dram_die_1,179.7159931286386,215.41436157226565,179.71300000000002,-0.0029931286385647127,0.0016654770599199072
A,s1_phy_moderate,dram_die_2,179.2797504163367,214.86712036132815,179.276,-0.0037504163366861576,0.002091935273212208
A,s1_phy_moderate,dram_die_3,178.8023575866021,214.13924560546877,178.798,-0.004357586602111496,0.002437096837496071
A,s1_phy_moderate,dram_die_4,178.28445613274155,213.28701171875002,178.28000000000003,-0.004456132741523788,0.0024994510672349235
A,s1_phy_moderate,dram_die_5,177.72528112792415,212.30574951171877,177.72200000000004,-0.0032811279241116154,0.0018461796224420687
A,s1_phy_moderate,dram_die_6,177.1270247975861,211.20647583007815,177.122,-0.005024797586088425,0.002836832827644776
A,s1_phy_moderate,dram_die_7,176.48744759901507,209.83916625976565,176.483,-0.004447599015065862,0.0025200653505800274
A,s1_phy_moderate,top_die,176.3802875043356,209.30422363281252,176.40500000000003,0.024712495664431344,0.014010916987434828
A,s2_phy_heavy,base_die_phy,215.3178073448489,230.19606933593752,212.24,-3.0778073448488783,1.4294253609593566
A,s2_phy_heavy,base_die_tsva,173.02686257871719,210.2925964355469,175.07300000000004,2.0461374212828503,1.182554772587393
A,s2_phy_heavy,base_die_da,163.81225728722345,172.41314086914065,159.34300000000002,-4.469257287223428,2.728280142912119
A,s2_phy_heavy,dram_die_1,179.71608202902726,229.84481201171877,179.71300000000002,-0.0030820290272401962,0.0017149433664720086
A,s2_phy_heavy,dram_die_2,179.27984166814272,228.95253906250002,179.276,-0.003841668142712251,0.002142833297356096
A,s2_phy_heavy,dram_die_3,178.80243951138434,227.92449340820315,178.798,-0.004439511384333628,0.002482914325143178
A,s2_phy_heavy,dram_die_4,178.28452889424383,226.81514892578127,178.28000000000003,-0.004528894243804871,0.0025402620585723143
A,s2_phy_heavy,dram_die_5,177.72533866872345,225.61422119140627,177.72200000000004,-0.0033386687234155943,0.0018785552743488126
A,s2_phy_heavy,dram_die_6,177.12707958713844,224.33840332031252,177.122,-0.005079587138425268,0.002867764291188656
A,s2_phy_heavy,dram_die_7,176.487502444465,222.82760009765627,176.483,-0.004502444465003919,0.002551140677182337
A,s2_phy_heavy,top_die,176.38015904611555,222.28359375000002,176.40500000000003,0.024840953884478267,0.014083757503576957
B,s0_uniform,dram_die_1,68.05158873005452,82.09041748046877,101.01000000000005,32.95841126994553,48.431508925800685
B,s0_uniform,dram_die_2,68.185873381471,82.6426940917969,100.976,32.790126618529,48.08932553387147
B,s0_uniform,dram_die_3,68.27900664927184,82.94051513671877,100.90100000000001,32.621993350728175,47.77748674390838
B,s0_uniform,dram_die_4,68.33172133030517,83.05159912109377,100.786,32.45427866969483,47.49518677103972
B,s0_uniform,dram_die_5,68.3435491290994,82.98882446289065,100.63,32.286450870900595,47.241402125476725
B,s0_uniform,dram_die_6,68.31626139685238,82.72768554687502,100.43400000000003,32.11773860314764,47.01331417504566
B,s0_uniform,dram_die_7,68.24767213224001,82.16048583984377,100.197,31.94932786775999,46.81379872686854
B,s0_uniform,top_die,68.22394802230514,81.68572387695315,100.166,31.94205197769486,46.81941298274284
B,s1_phy_moderate,base_die_phy,95.03762053436704,105.90670166015627,115.60400000000004,20.566379465633005,21.64025082908709
B,s1_phy_moderate,base_die_tsva,81.21694467258226,96.02590332031252,98.399,17.182055327417743,21.15575191443784
B,s1_phy_moderate,base_die_da,84.22779157532287,92.80080566406252,92.82400000000001,8.596208424677144,10.205905039062745
B,s1_phy_moderate,dram_die_1,84.5432571828848,106.77687988281252,101.01000000000005,16.466742817115247,19.477298800416722
B,s1_phy_moderate,dram_die_2,84.5940223540961,107.03701171875002,100.976,16.381977645903902,19.365408086793355
B,s1_phy_moderate,dram_die_3,84.60372185642358,107.07760009765627,100.90100000000001,16.297278143576435,19.263074704010858
B,s1_phy_moderate,dram_die_4,84.57288888889155,106.95964965820315,100.786,16.213111111108446,19.17057738492128
B,s1_phy_moderate,dram_die_5,84.50089094069641,106.6833435058594,100.63,16.129109059303588,19.087501776310457
B,s1_phy_moderate,dram_die_6,84.3895945246254,106.2352233886719,100.43400000000003,16.04440547537463,19.012303075698245
B,s1_phy_moderate,dram_die_7,84.23683867625388,105.49868164062502,100.197,15.96016132374612,18.94677147736462
B,s1_phy_moderate,top_die,84.20073011607066,105.0118347167969,100.166,15.965269883929338,18.960963713641465
B,s2_phy_heavy,base_die_phy,100.16903221022895,111.9467712402344,125.601,25.43196778977105,25.38905211382687
B,s2_phy_heavy,base_die_tsva,80.46522320430623,99.78634033203127,96.774,16.308776795693774,20.26810607892651
B,s2_phy_heavy,base_die_da,81.0427360716167,89.4655700683594,86.53400000000005,5.491263928383347,6.775763251046668
B,s2_phy_heavy,dram_die_1,84.60248157960486,112.64895019531252,101.01000000000005,16.407518420395192,19.393660935296438
B,s2_phy_heavy,dram_die_2,84.65294756632716,112.74001464843752,100.976,16.323052433672842,19.282320229763325
B,s2_phy_heavy,dram_die_3,84.66234308706008,112.64724121093752,100.90100000000001,16.23865691293993,19.180495508187594
B,s2_phy_heavy,dram_die_4,84.63120621961716,112.41384277343752,100.786,16.154793780382846,19.088459803422055
B,s2_phy_heavy,dram_die_5,84.55890180417457,112.04058227539065,100.63,16.071098195825428,19.005802881692603
B,s2_phy_heavy,dram_die_6,84.44730427542045,111.5156188964844,100.43400000000003,15.986695724579576,18.930972233808443
B,s2_phy_heavy,dram_die_7,84.29424784314577,110.71758422851565,100.197,15.902752156854234,18.86576197517769
B,s2_phy_heavy,top_die,84.25801220821866,110.2269226074219,100.166,15.907987791781338,18.880089115405983
