series,scenario,die,avg_c,max_c
A,s0_uniform,bump_layer_1,179.911,179.911
A,s0_uniform,dram_die_1,179.71300000000002,179.71300000000002
A,s0_uniform,bump_layer_2,179.495,179.495
A,s0_uniform,dram_die_2,179.276,179.276
A,s0_uniform,bump_layer_3,179.03700000000003,179.03700000000003
A,s0_uniform,dram_die_3,178.798,178.798
A,s0_uniform,bump_layer_4,178.53900000000004,178.53900000000004
A,s0_uniform,dram_die_4,178.28000000000003,178.28000000000003
A,s0_uniform,bump_layer_5,178.00100000000003,178.00100000000003
A,s0_uniform,dram_die_5,177.72200000000004,177.72200000000004
A,s0_uniform,bump_layer_6,177.42200000000003,177.42200000000003
A,s0_uniform,dram_die_6,177.122,177.122
A,s0_uniform,bump_layer_7,176.803,176.803
A,s0_uniform,dram_die_7,176.483,176.483
A,s0_uniform,top_die,176.40500000000003,176.40500000000003
A,s0_uniform,EMC,162.72700000000003,162.72700000000003
A,s0_uniform,base_die_phy,180.14700000000005,180.14700000000005
A,s0_uniform,base_die_tsva,180.14700000000005,180.14700000000005
A,s0_uniform,base_die_da,180.14700000000005,180.14700000000005
A,s1_phy_moderate,bump_layer_1,179.911,179.911
A,s1_phy_moderate,dram_die_1,179.71300000000002,179.71300000000002
A,s1_phy_moderate,bump_layer_2,179.495,179.495
A,s1_phy_moderate,dram_die_2,179.276,179.276
A,s1_phy_moderate,bump_layer_3,179.03700000000003,179.03700000000003
A,s1_phy_moderate,dram_die_3,178.798,178.798
A,s1_phy_moderate,bump_layer_4,178.53900000000004,178.53900000000004
A,s1_phy_moderate,dram_die_4,178.28000000000003,178.28000000000003
A,s1_phy_moderate,bump_layer_5,178.00100000000003,178.00100000000003
A,s1_phy_moderate,dram_die_5,177.72200000000004,177.72200000000004
A,s1_phy_moderate,bump_layer_6,177.42200000000003,177.42200000000003
A,s1_phy_moderate,dram_die_6,177.122,177.122
A,s1_phy_moderate,bump_layer_7,176.803,176.803
A,s1_phy_moderate,dram_die_7,176.483,176.483
A,s1_phy_moderate,top_die,176.40500000000003,176.40500000000003
A,s1_phy_moderate,EMC,162.72700000000003,162.72700000000003
A,s1_phy_moderate,base_die_phy,199.15800000000002,199.15800000000002
A,s1_phy_moderate,base_die_tsva,177.03200000000004,177.03200000000004
A,s1_phy_moderate,base_die_da,168.29700000000003,168.29700000000003
A,s2_phy_heavy,bump_layer_1,179.911,179.911
A,s2_phy_heavy,dram_die_1,179.71300000000002,179.71300000000002
A,s2_phy_heavy,bump_layer_2,179.495,179.495
A,s2_phy_heavy,dram_die_2,179.276,179.276
A,s2_phy_heavy,bump_layer_3,179.03700000000003,179.03700000000003
A,s2_phy_heavy,dram_die_3,178.798,178.798
A,s2_phy_heavy,bump_layer_4,178.53900000000004,178.53900000000004
A,s2_phy_heavy,dram_die_4,178.28000000000003,178.28000000000003
A,s2_phy_heavy,bump_layer_5,178.00100000000003,178.00100000000003
A,s2_phy_heavy,dram_die_5,177.72200000000004,177.72200000000004
A,s2_phy_heavy,bump_layer_6,177.42200000000003,177.42200000000003
A,s2_phy_heavy,dram_die_6,177.122,177.122
A,s2_phy_heavy,bump_layer_7,176.803,176.803
A,s2_phy_heavy,dram_die_7,176.483,176.483
A,s2_phy_heavy,top_die,176.40500000000003,176.40500000000003
A,s2_phy_heavy,EMC,162.72700000000003,162.72700000000003
A,s2_phy_heavy,base_die_phy,212.24,212.24
A,s2_phy_heavy,base_die_tsva,175.07300000000004,175.07300000000004
A,s2_phy_heavy,base_die_da,159.34300000000002,159.34300000000002
B,s0_uniform,bump_layer_1,101.007,101.007
B,s0_uniform,dram_die_1,101.01000000000005,101.01000000000005
B,s0_uniform,bump_layer_2,100.993,100.993
B,s0_uniform,dram_die_2,100.976,100.976
B,s0_uniform,bump_layer_3,100.93900000000002,100.93900000000002
B,s0_uniform,dram_die_3,100.90100000000001,100.90100000000001
B,s0_uniform,bump_layer_4,100.84400000000005,100.84400000000005
B,s0_uniform,dram_die_4,100.786,100.786
B,s0_uniform,bump_layer_5,100.70800000000003,100.70800000000003
B,s0_uniform,dram_die_5,100.63,100.63
B,s0_uniform,bump_layer_6,100.53200000000004,100.53200000000004
B,s0_uniform,dram_die_6,100.43400000000003,100.43400000000003
B,s0_uniform,bump_layer_7,100.31600000000003,100.31600000000003
B,s0_uniform,dram_die_7,100.197,100.197
B,s0_uniform,top_die,100.166,100.166
B,s0_uniform,EMC,94.132,94.132
B,s0_uniform,base_die_phy,101.00400000000002,101.00400000000002
B,s0_uniform,base_die_tsva,101.00400000000002,101.00400000000002
B,s0_uniform,base_die_da,101.00400000000002,101.00400000000002
B,s1_phy_moderate,bump_layer_1,101.007,101.007
B,s1_phy_moderate,dram_die_1,101.01000000000005,101.01000000000005
B,s1_phy_moderate,bump_layer_2,100.993,100.993
B,s1_phy_moderate,dram_die_2,100.976,100.976
B,s1_phy_moderate,bump_layer_3,100.93900000000002,100.93900000000002
B,s1_phy_moderate,dram_die_3,100.90100000000001,100.90100000000001
B,s1_phy_moderate,bump_layer_4,100.84400000000005,100.84400000000005
B,s1_phy_moderate,dram_die_4,100.786,100.786
B,s1_phy_moderate,bump_layer_5,100.70800000000003,100.70800000000003
B,s1_phy_moderate,dram_die_5,100.63,100.63
B,s1_phy_moderate,bump_layer_6,100.53200000000004,100.53200000000004
B,s1_phy_moderate,dram_die_6,100.43400000000003,100.43400000000003
B,s1_phy_moderate,bump_layer_7,100.31600000000003,100.31600000000003
B,s1_phy_moderate,dram_die_7,100.197,100.197
B,s1_phy_moderate,top_die,100.166,100.166
B,s1_phy_moderate,EMC,94.132,94.132
B,s1_phy_moderate,base_die_phy,115.60400000000004,115.60400000000004
B,s1_phy_moderate,base_die_tsva,98.399,98.399
B,s1_phy_moderate,base_die_da,92.82400000000001,92.82400000000001
B,s2_phy_heavy,bump_layer_1,101.007,101.007
B,s2_phy_heavy,dram_die_1,101.01000000000005,101.01000000000005
B,s2_phy_heavy,bump_layer_2,100.993,100.993
B,s2_phy_heavy,dram_die_2,100.976,100.976
B,s2_phy_heavy,bump_layer_3,100.93900000000002,100.93900000000002
B,s2_phy_heavy,dram_die_3,100.90100000000001,100.90100000000001
B,s2_phy_heavy,bump_layer_4,100.84400000000005,100.84400000000005
B,s2_phy_heavy,dram_die_4,100.786,100.786
B,s2_phy_heavy,bump_layer_5,100.70800000000003,100.70800000000003
B,s2_phy_heavy,dram_die_5,100.63,100.63
B,s2_phy_heavy,bump_layer_6,100.53200000000004,100.53200000000004
B,s2_phy_heavy,dram_die_6,100.43400000000003,100.43400000000003
B,s2_phy_heavy,bump_layer_7,100.31600000000003,100.31600000000003
B,s2_phy_heavy,dram_die_7,100.197,100.197
B,s2_phy_heavy,top_die,100.166,100.166
B,s2_phy_heavy,EMC,94.132,94.132
B,s2_phy_heavy,base_die_phy,125.601,125.601
B,s2_phy_heavy,base_die_tsva,96.774,96.774
B,s2_phy_heavy,base_die_da,86.53400000000005,86.53400000000005
